MasterID,TeluguNo,EnglishNo,TamilNo,HindiNo,TeluguTitle,EnglishTitle,TamilTitle,HindiTitle
217,217,217,234,240,భక్తులారా స్మరియించెదము,Bhakhtulaaraa smariyinchedamu,பக்தர்களே தியானித்திடுவோம்,"तुम याद करो सब भक्तों, प्रभु ने क्या क्या किया,"
218,218,218,174,160,యేసు ప్రభును స్తుతించుట,Yesu prabhuni stutinchuta,கர்த்தர் இயேசுவைத் துதிப்பது,"स्तुति करें यीशुजी की, अति सुन्दर और उत्तम भी है"
219,219,219,185,193,యేసు దివ్య రక్షకుని,Yesu divya rakshakuni,போற்றும் ! போற்றும் !,"गाओ, गाओ ख्रीष्ट यीशु है मुक्तिदाता,"
220,220,220,132,187,ప్రభు నా దేవా,Prabhu naa devaa,என் தேவனே உம் மகத்வக்கிரியைகள்,"प्रभु महान विचारूँ कार्य तेरे ... कितने अद्‍भुत जो तू ने बनाए,"
221,221,221,186,0,ప్రభావ శక్తులు,Prabhaava shaktulu,போற்றிடு ஆன்மமே சிருஷ்டி கர்த்தாவாம் வல்லோரை;,
222,222,222,176,211,యేసు ప్రభు నీ,Yesu prabhoo nee,இயேசுவே உந்தன் முகதரிசனத்தால் 2,"यीशु प्रभु तेरे चेहरे को देखकर,"
223,223,223,189,126,జయమని పాడు జయమని,Jayamani paadu jayamani,ஜெயம் பாடுவோம் ஜெயம் பாடுவோம்,"बोलो जय जय, बोलो जय जय, प्रभु यीशु की जय,"
224,224,224,701,104,ఓ జగద్రక్షకా,Oh jagadrakshakaa,உலக இரட்சகரே தயாளர் நீரே,"हे जग त्राता, विश्व बिधाता, दिया है अनमोल दान,"
225,225,225,0,0,కృపాతిశయముల్,Krupaathi shayamul,,
226,226,226,0,0,స్తుతించు - స్తుతించు,Stutinchu stutinchu,,
227,227,227,0,0,నే స్తుతించెదను యేసు నామమును,Ne sthuthinchedanu yesu namamunu,,
228,228,228,0,0,పాడెద దేవా - నీ కృపలన్,Padeda deva  nee krupalan,,
229,229,229,0,719,యేసు నామం మనోహరం,Yesu namam manoharam,,"यीशु का नाम मनोहर है, कितना वह मधुर भी है"
230,230,230,236,198,ఎంత జాలి యేసువా,Entha jaali yesuvaa,என்ன விதமாய்ப் பாடுவேனோ,"हे प्रेमी तारणहार, दया तेरी है अपार"
231,231,231,218,141,శ్రీ యేసు నాథుని,Shree yesu naadhuni,சீரேசுநாதனை சிரமேற் கொண்டிடுவோம்,"सीस नवाए प्रभु वन्दन करते,"
232,232,232,243,116,దేవాది దేవా ప్రభువుల,Devaadi devaa prabhuvul,ராஜாதி ராஜா கர்த்தாதி கர்த்தா,"राजाओं का राजा, प्रभुओं का प्रभु,"
233,233,233,222,117,జై జై యేసురాజా,Jai Jai yesu raajaa,ஜேய் ஜேய் இயேசு ராஜா ஜேய் ஜேய்,"जय जय यीशु, राजा जय जय,"
234,234,234,240,222,నాదు ప్రాణమా,Naadu praanamaa,எந்தனுள்ளமே எந்தனுள்ளமே,"सुन ऐ मेरी जान, प्रभु का कामों को न भूल, (2)"
235,235,235,397,149,ప్రభు నిను కీర్తించుచున్నాము,Prabhu ninnu keertinchu,சுவிசேஷத்தைக் கேட்பீரே,"प्रभु तेरा नाम सुवन्दित गाऊँ, (2)"
236,236,236,221,103,జీవంబు నిచ్చిన,Jeevambu nitchina,ஜீவனைக் கொடுத்த தேவனே,"जीवन दिया है परमेश्वर,"
237,237,237,239,99,స్తోత్రించి కీర్తింతుము,Stotrinchi keertintumu,போற்றுவோம் போற்றுவோமே புகழ்,"आओ भजें उसको, प्रचार करें, प्रणाम करें,"
238,238,238,238,170,స్తోత్రించి కీర్తించెదము హల్లెలూయ,Stotrinchi keertinchedamu,போற்றிப் புகழ்ந்திடுவோம் அல்லேலூயா—துதி,"स्तुति प्रशंसा करो ... हल्लेलूयाह,"
239,239,239,237,161,మా దేవ మా దేవ నీదు,Maa devaa maa devaa,உமதுண்மை மகா பெரியது,"यीशु तेरी दया दृष्टि अधिक है,"
240,240,240,0,237,యెహోవా గొప్ప కార్యములు,Yehovaa goppa kaaryamulu,,"यहोवा ने हमारे साथ महान काम किये हैं,"
241,241,241,0,233,స్తుతింతున్ పరిశుద్దుని ఆరాధనతో,Stutintun parishudduni,,"स्तुति, प्रशंसा करें, प्रभु यीशु की, आज तक है सम्भाला हमें"
242,242,242,242,238,ప్రభు గొప్ప కార్యములు చేసెనని,Prabhu goppa kaaryamulu,கர்த்தர் பெரிய காரியங்களைச் செய்தார்,"प्रभु महान कार्य किया है, हम मिल के प्रशंसा करें,"
243,243,243,241,0,ఆనందముగా యెహోవా నీ కృపలన్ని,Aanandamugaa Yehovaa Nee Krupaalanni,ஆனந்தமாய் யேகோவா உம் கிருபைகளை,
244,244,244,0,0,దేవుని కీర్తించెదము - దైవపుత్రుని,Devuni keertinchedamu,,
245,245,245,219,175,పగటిలో మేఘ స్తంభముగా,Pagatilo megha stambhamugaa,பகலில் மேக ஸ்தம்பமாயிருந்தீர்,"दिन में बादल का छाया बना ... रात में अग्नि का ज्वाला बना,"
246,246,246,220,0,రక్షణ్య పాటలు పాడి,Rakshanya paatalu paadi,இரட்சணியப் பாடல்கள் பாடி,
247,247,247,572,566,కృతజ్ఞతన్ తలవంచి,Kruthajnathan thalavanchi,நன்றியுடன் பணிகிறேன்,"आभारी हूँ सिर मैं झुकाऊँ, जीवन अर्पण मैं करता हूँ,"
248,248,248,235,216,నాకొరకై అన్నియు చేసెను యేసు,Naa korakai anniyu,எனக்காக யாவற்றையும் செய்பவரே,"मेरे लिए प्यारा यीशु सब कुछ किया है,"
249,249,249,0,236,యెహోవ మన కొరకు,Yehovaa manakoraku,,"यहोवा ने कैसे का बड़े किए हैं,"
250,250,250,0,0,యెహోవా కార్యములన్నిటికై,Yohovaa kaaryamulannitikai,,
251,251,251,0,709,పూర్ణ హృదయ స్తోత్రముల్,Poorna hrudaya stotramul,,"पूर्ण हृदय से धन्यवाद, चढ़ाता हूँ मैं प्रभु को"
252,252,252,139,0,అడవి చెట్ల నడుమ,Adavi chetla naduma,காட்டு மரங்களின் நடுவில்,
253,253,253,277,230,దేవుని స్తుతించ రండి,Devuni stutincharandi,ஆண்டவரைத் துதிக்க வாரும்,स्तुति ईश्वर की हम करें ... बीते वर्ष में सम्भाला हमें
254,254,254,278,232,స్తోత్రము స్తోత్యమయ్యా దేవా,Stotramu stotramayyaa devaa,தோத்திரம் தோத்திரமே—தேவா,"स्तुति हो स्तुति प्रभु, आ आ"
255,255,255,276,231,దేవా సంవత్సరమును,Deva - Samvathsaramunu,தேவா வருஷத்தை நன்மையினால் முடிசூட்டுகிறீர்,"प्रभु ... वर्ष पर तू ... भलाई मुकुट ... धर दिया है,"
256,256,256,0,0,స్తుతులు నీకర్పింతుము,Stutulu nee karpintunu,,
257,257,257,0,0,ప్రభువా పాడెద నొక స్తుతి గీతం,Prabhuva padedha noka,,
258,258,258,275,241,ఓ భక్తులారా మనమందరము,Oh bhakhtulaaraa mana,ஓ பக்தர்களே ஏகமாய் சேர்ந்து,"आओ भक्त लोगों हम सब मिलकर,"
259,259,259,647,552,మేము భయపడము ఇక మేము,Memu bhaya padamu - ika memu,நாங்கள் பயப்படோம்—என்றும்,"हम में डर है नही, अब से हम में डर है नही,"
260,260,260,648,551,భయము లేదుగా మనకు,Bhayamu leduga manaku,பயப்படமாட்டோம் நாங்கள் பயப்படமாட்டோம்,"भय अब नहीं है, हमें भय अब नहीं है,"
261,261,261,0,0,ప్రభు క్రీస్తేసు నీకే,Prabhu kristesu neeke,,
262,262,262,0,0,నా ప్రియుడు నావాడు నేను,Naa priyudu naavaadu nenu,,
263,263,263,0,0,ఈ సుదినము - యేసు ప్రభువా,Ee Sudinamu-Yesu Prabuva,,
264,264,264,0,0,సంవత్సరాది మొదలు - సంవత్సరాంతము,Sanvatsaradi modalu - sanvatsarantamu,,
265,265,265,284,0,దేవసుతుడు యేసు జన్మించె,Deva sutudu yesu,தேவகுமாரன் இயேசு பிறந்தார்—என்றும்,
266,266,266,285,246,మరియకు సుతుడుగ,Mariyaku sutuduga,மாமரி சுதனாய் மானிலமதிலே,"चरनी में चमका चमकीला सितारा, (2)"
267,267,267,0,247,బేత్లెహేం పురమున,Betlehem puramuna,,"बेथलहैम के ऐ छोटे कस्बे, खामोश और सुनसान होते देखा,"
268,268,268,286,248,ఓ సద్భక్తులారా లోక,O sadbhaktulara loka,"பக்தரே, வாரும் ஆசை ஆவலோடும்;","अब आओ विश्वासियों, जय जय करते गाओ,"
269,269,269,0,249,దూత పాట పాడుఁడి,Doota paata padudi,,"सुनों ! दुउतगण गातें हैं ; बालक राजा ख्रिस्त की जय,"
270,270,270,206,245,వింటిమయ్యా నీ స్వరము,Vintimayya nee swaramu,கேட்பேனே நான் உம் சத்தத்தை,"सुनते हैं हम तेरी आवाज, तकत्ते हैं हम तेरे रूप को,"
271,271,271,290,0,ఉదయించె దివ్య రక్షకుడు,Udayinche divya rakshakudu,உதித்தாரே திவ்விய ரட்சகனே,
272,272,272,295,0,"నిరాకారా, సురూపుడా","Niraakaaraa, suroopudaa","அரூபியே சொரூபியே, மருகியே",
273,273,273,301,0,యేసుని శ్రమలతోడ,Yesuni shramalatoda,இயேசுவின் வேதனையுடன்,
274,274,274,296,258,మనకై యేసు మరణించె,Manakai yesu maraninche,நமக்காய் இயேசு மரித்தார்,"यीशु ने सब के लिए ... जीवन बलिदान किया,"
275,275,275,0,136,యేసు ప్రభూ నా కొరకై,Yesu prabhu naa,,यीशु ने मेरे लिए कुर्बानी चढ़ाई  (2)
276,276,276,303,253,ప్రభుయేసు ప్రభుయేసు,Prabhu yesu,பாவிகளுக்காய் கிறிஸ்சேசு மரித்தாரே,"ऊपर सूली के, ऊपर सूली के, मसीहा जान देता,"
277,277,277,302,259,నీ రక్తమే - నీ రక్తమే,Nee rakhtame,உம் இரத்தமே உம் இரத்தமே சுத்தம் செய்யுமே,"तेरा लोहू तेरा लोहू मुझे शुद्ध करता है,"
278,278,278,300,254,సిలువలో బలియైన,Siluvalo baliyaina,சிலுவையிலே பலியான,"ईश्वर का ओ मेम्ना, तू चढ़ा था क्रूस के ऊपर,"
279,279,279,299,252,అదిగో కల్వరిలో యేసు,Adigo calvarilo,அந்தோ கல்வாரியில்—அருமை இரட்சகரே,"देखो, कलवरी पर यीशु देता अपना प्राण,"
280,280,280,297,0,దైవతనయా క్రీస్తునాథుండా,Daivatanayaa kristhunadhundaa,எந்தனை இரட்சிக்கவே வந்தீர்—தேவா,
281,281,281,293,260,యేసుని రక్తమే జై జై,Yesuni rakhtame,இயேசுவின் இரத்தமே ஜெயம் ஜெயமே,"यीशु के लोहू की जय, जय, जय,"
282,282,282,305,0,ఎటువంటి యాగము,Yetuvanti yaagambu,என்ன தியாகம் என் கல்வாரி நாயகா,
283,283,283,0,251,చూడుమదే నీ కొరకే,Choodumade nee,,"देख, जरा देख, तेरे लिए,"
284,284,284,294,250,జీవపు మార్గ జ్యోతివి,Jeevapu maargajyotivi,வாழ்க்கையாம் பாதைக்கு நீரே வெளிச்சம்,"जीवन पथ की ज्योति तू क्रूसधारी यीशु,"
285,285,285,298,314,యేసు చావొందె సిలువపై,Yesu chavonde siluvapai,இயேசு சிலுவையில் மாண்டார்,"यीशु सलीब पर मुआ,"
286,286,286,306,265,మహాత్ముడైన నా ప్రభు,Mahatmudaina naa prabhu,"என் அருள் நாதா இயேசுவே,","जिस क्रूस पर यीशु मारा था, उस क्रूस पर ध्यान जब करता हूँ,"
287,287,287,0,66,కల్వరి గుట్టమీదను,Calvari guttameedanu,,हे यहोवा गहरे स्थानों से ... तुझ को मैंने पुकारा है ;
288,288,288,320,255,దేవా నాదేవా నన్నేల,Devaa naa devaa,என் தேவனே என் தேவனே ஏன் என்னை,"""मेरे ईश्वर तू ने मुझे क्यों छोड़ा"", पुकारा क्रूस पर से प्रभु मेरे,"
289,289,289,310,264,ప్రియుని సిలువను ప్రేమింతున్,Priyuni siluvanu preminthun,கல்வாரி மலையில் நின்ற ஈனச் சிலுவை,"आह ! वह प्यारी सलीब, मुझ को दीख पड़ती है,"
290,290,290,324,267,గీతం గీతం జయ జయ,Geetam geetam jaya jaya,கீதம் கீதம் ஜெய ஜெயக் கீதம்,"गाओ, गाओ, जय गीत गाओ,"
291,291,291,0,0,లేచినాడురా సమాధి గెలిచినాడురా,Lechinaaduraa samaadhi,,
292,292,292,325,268,శ్రేష్టగీతము వినబడుచున్నది,Sresta geethamu vinabadu,இன்பக்கீதந் தொனித்திடு இயேசு எழுந்தார்,"ओ ! हल्लेलूयाह बोलो यीशु जीवित हो गया, (2)"
293,293,293,0,275,యేసు సమాధిలో - పరుండి,Yesu smadhilo,,"वह कब्र में पड़ा ... ख्रिस्त मेरा त्राता,"
294,294,294,0,0,క్రీస్తులేచె! హల్లెలూయ,Kristu leche Halleluya,,
295,295,295,0,276,క్రీస్తు నేడు లేచెను,Kristu nedu lechenu,,यीशु ख्रिस्त जी उठा है ! हल्लेलूयाह !
296,296,296,341,631,యేసురాజు వచ్చును దూతలతో,Yesuraju vachunu dootalatho,இயேசு ராஜன் வருவார் தூதரோடும் வருவார்,"यीशु राजा आएगा, फिरिश्तों के साथ आएगा,"
297,297,297,355,0,రాజాధిరాజా రావే,Raajaadhi raajaa raave,ராஜாதி ராஜாவே வாரும்,
298,298,298,0,468,మేఘా రూఢుండై - ప్రభుయేసు,Meghaaroodundai - prabhu,,"नया यरूशलेम, जो अद्‍भुत है, पवित्र नगर वही है,"
299,299,299,339,0,ప్రభుని రాకడ ఈ దినమే,Prabhuni raakada eediname,ஆண்டவர் வருகை விண் மீதே,
300,300,300,340,629,మహిమయుతుడు మా యేసు రాజు,Mahimayutudu maa yesu raju,மகிமையுள்ள மாயேசு ராஜன்,"महिमा के साथ यीशु राजा,"
301,301,301,338,627,మేఘము మీద యేసురాజు,Meghamumeeda Yesuraju,மேகமீதில் இயேசு ராஜன்,"बादलों पर यिशु राजा जल्दी आता है, (2)"
302,302,302,0,634,సోదరులారా లెండి,Sodarulaaraa lendi,,"जब देखो निशानत भाइयो सब जग जाओ,"
303,303,303,0,636,యేసు రాగానే సంఘము,Yesu raagaane sangamu,,"सजा पाऍंगे, हाँ जी, मार खाऍंगे, कुल गुनाहगार,"
304,304,304,334,0,రాజుల రాజుగ యేసు ప్రభుండు,Rajula rajuga Yesu,ராஜாதி ராஜனாக இயேசுகிறிஸ்து,
305,305,305,390,0,నీ దేవుని సంధించ నీవు,Nee devuni sandhincha neevu,உன் தேவனைச் சந்திக்க நீ ஆயத்தமா?,
306,306,306,758,637,పరిశుద్ధులెల్లరు యేసున్ పొగడి,Parishuddu lellaru yesun pogadi,பரிசுத்தர் கூட்டம் இயேசுவைப்போற்றி,"दुनिया के विश्वासी उठाए जाएँगे,"
307,307,307,335,0,యేసు శీఘ్రముగా వచ్చున్,Yesu sheegramugaa vachchun  aashatho,இயேசு சீக்ரமாய் வருகிறார்,
308,308,308,343,0,మేలుకో! మహిమ రాజు,Meluko mahima raju,விழித்திரு மகிமை ராஜன்,
309,309,309,330,638,అదిగో వచ్చునదెవరో చూడుమా,Adigo vachinadevaro chudumu,வருகிறவர் யாரென்று நீ பார்,"देखो, देखो, कोई आ रहा है, कैसी महिमा मसीह आ रहा है,"
310,310,310,328,639,యేసు శీఘ్రముగ తిరిగివచ్చున్,Yesu sheeghramuga thirigi vachchun,இயேசு சீக்கிரம் வரப் போகிறார்,"यीशु शीघ्र ही फिर आएगा, सत्य ईश्वर की यह वाणी है,"
311,311,311,0,640,ఇదిగో నేను వచ్చుచున్నాను,Idigo nenu vachu chunnaanu,,"देखो निश्चय आता हूँ मैं, शीघ्र आ रहा हूँ मैं,"
312,312,312,329,630,జయమని పాడు ప్రభుయేసునకే,Jayamani paadu prabhu yesunake,இயேசு வருகிறார் ஜெயங்கூறிடுவோம்,"बोलो जय, जय, जय, प्रभु यीशु की जय"
313,313,313,327,642,కాలము సమీపము ప్రభు,Kaalamu sameepamu prabhu yesu,காலம் நெருங்கிற்றே கர்த்தர் வருகையின்,"अब वह दिन निकट है, प्रभु आएगा, (2)"
314,314,314,332,643,ప్రకాశ వస్త్రముతో పరలోక మహిమతో,Prakaasha vastramutho paraloka mahimatho,சொர்க்கத்தின் மகிமையோடும்,"स्वर्गीय महिमा में, तेजोमय वस्त्र में,"
315,315,315,331,644,రాజులరాజు - ప్రభువుల ప్రభూ,Raajula raaju - prabhuvula prabhoo,ராஜாதி ராஜா கர்த்;தாதி கர்த்தா,"राजाओं का राजा, प्रभुओं का प्रभु,"
316,316,316,336,645,"జాగ్రత్త, భక్తులారా పిలుపిదే","Jagratha, bakthulara pilupi",எழும்புங்கள் பக்தர்களே,"हो तैयार, सन्तों सब, है पुकार,"
317,317,317,344,647,సీయోనురాజు వచ్చును మదిన్,Siyonu raaju vachchunu madini,சீயோனின் ராஜா வருகிறார் ஆயத்தப்படுவோம்,"सिय्योन से राजा आ रहा, मन को सुधार लो,"
318,318,318,333,648,ప్రభువు దిగివచ్చును పరమునుండి,Prabhuvu digivatchunu paramunundi,பரமனேசு வருகிறார் பரத்தினின்று வேகமாய்,"यीशु शीघ्र आएगा, स्वर्ग से वो उतरेगा,"
319,319,319,337,649,క్రీస్తు యేసు వచ్చును,Kristu yesu vachunu,ஆண்டவர் இயேசு வருகிறார்,"अब तुम सब तैयार रहो, ख्रीष्ट यीशु आएगा,"
320,320,320,342,650,బూర శబ్దంబు నింగిన్ ధ్వనింప,Boora shabhdambu ningin,எக்காள சத்தம் வானில் தொனிக்க,"तुरही का शब्द जो आकाश में होता, सामने यीशु को हम देखेंगे,"
321,321,321,0,0,యేసుక్రీస్తు శీఘ్రముగ శీఘ్రముగ,Yesu kristu sheeghramuga,,
322,322,322,350,651,కొంతసమయమే మిగిలినది,Kontha samayame migilinadi,கொஞ்சக் காலமே மிஞ்சியுள்ளது,"समय अब थोड़ा बाकी रहा, आनेवाला यीशु शीघ्र आएगा,"
323,323,323,724,641,జయించు వారిని కొనిపోవ,Jayinchu vaarini koni pova,ஜெயங்கொள்ளுவோரை கொண்டு போக,"मसीह लेने उन्हीं को आता है, जो जयवन्त विश्वासी हैं,"
324,324,324,0,168,హల్లెలూయా హల్లెలూయా,Halleluyah Halleluyah,,"हल्लेलूयाह, हल्लेलूयाह, हल्लेलूयाह, स्तुति,"
325,325,325,0,0,ఓ సంఘమా శుభవార్త,Oh sanghamaa shubha vaartha,,
326,326,326,0,0,లేరు లేరు - జగతిన్ న్నీ సమము,Leru leru - jagatin nee samamu,,
327,327,327,0,0,రాజులకు రాజైన యేసు ప్రభు రానై,Rajulaku rajaina Yesu prabhuvu ranai,,
328,328,328,304,0,పరమ తండ్రి సుతుడు,ParamaThandri suthudu,"ஜீவன் ஈந்தாரல்லவோ,",
329,329,329,0,0,దేవ గొర్రెపిల్ల సిలువలో సమసినపుడు,Deva gorrepilla siluvalo samasinappudu,,
330,330,330,225,244,మహారాజా యేసు నీకే మహిమ కలుగు గాక,Maharaja Yesu nekai mahima kalugu gaka,மகா ராஜா இயேசு வாழ்க,"महाराजा यीशु तेरी होवे जय जयकारी,"
331,331,331,0,342,పరలోక రాజ్యము చేరుటకు,Paraloka rajyamu cherutaku,,"यीशु के पथ को छोड़कर कही जावे मतिना,"
332,332,332,368,321,ప్రేమడంకా జగమున,Premadankaa jagamuna,அன்பின் முரசு அகிலத்தில் கேட்கிற முழக்கம்,"यह प्रेम का डंका आलम में, बजवा दिया सूलीवाले ने  (2)"
333,333,333,226,261,జయమని పాడుడి సర్వ జనమా,Jayamani padudi sarwa janama,ஜெயமென்று பாடுங்கள் சர்வ ஜனமே,"जय बोलो सारे लोगों, यीशु मुक्तिदाता की,"
334,334,334,367,316,జగతి కరుదెంచె రక్షణకర్త,Jagati karudenche - rakshana kartha,ஜெகத்திற்கே இரட்சகனாய் உதித்தார்,"जगत में आया है तारणहार (2),"
335,335,335,227,300,ధన్య ధన్య యేసు నామము,Danya Danya yesu namamu,வாழ்க வாழ்க இயேசு நாமமே,"भजो भजो प्रभु यीशु नाम,"
336,336,336,0,0,ఈయన మాట వినుడి - నేడు,Eyana mata vinudi - needu,,
337,337,337,369,337,పాపమునకు జీతము మరణము,Papamunaku jeetamu maranamu,"பாவத்தின் பலன் நரகம், நரகம்","गुनाह की सजा जहन्नम, जहन्नम (3),"
338,338,338,0,0,పరుగిడిరా సోదరుడా,Parugidara sodaruda,,
339,339,339,0,298,వినుడి సోదరులారా,Vinudi sodarulaaraa,,"सुन लो मेरे भाइयो,"
340,340,340,0,0,రండి రండి రయమున యేసుని,Randi randi rayamuna Yesuni,,
341,341,341,0,556,ఇరుకు మార్గంబులో ప్రవేశించు,Iruku margambulo pravesinchu,,"तंग दरवाजे होकर कोई कोई चलता, (2)"
342,342,342,407,0,కృపకాలము దాటిపోవుచున్నది,Krupa kalamu dati povuchunnadi,கிருபைக்காலம் ஓடியே போகுதே நரரே,
343,343,343,0,299,ప్రభు యేసుకే జయమని పాడు,Prabhu Yesuke jayamanipaadu,,"सब यीशु की जय जय बोलो, सब पाप से हाथ को धो लो"
344,344,344,0,341,కలువరిలో విముక్తి - కలిగెనో ప్రియుండా,Caluvarilo vimukhti - kaligeno priyundaa,,कलवरी के सहारे ... बच जाएगा प्यारे
345,345,345,0,319,యేసు ప్రభువేగాక - వసుధలో,Yesu prabhuve gaaka vasudhalo,,"बिन यीशु नहीं हो, निस्तारा (2), ... बिन यीशु नहीं हो"
346,346,346,0,325,ప్రభు శ్రీ యేసు,Prabhu sriyesu - prabhu sri yesu,,"प्रभुजी तुम को,"
347,347,347,366,322,పరిపూర్ణంబగు గురువు యెవరు,Paripurnambagu guruvu yevaru,"குரு பூரணர் யார், குரு பூரணர் யார்?","गुरु कौन पूरा, गुरु कौन पूरा ... जिस के मन में प्रेम भरा"
348,348,348,408,294,ప్రజలారా వేగమే రారే,Prajalara vegame raare,ஜனங்களே வேகமாய் வாரும்,"सब लोगों जल्दी आओ, सच्चे प्रभु को जान लो,"
349,349,349,365,311,ప్రేమామృత ధారల చిందిన మన,Premamrutha dhaarala chindina mana,பாவியை நேசித்துப் பிராணனை ஈந்த,"प्रेमी मसीह के ओरेम बराबर, प्रेम है कोई नहीं,"
350,350,350,0,291,రమ్మనుచున్నా డేసు రాజు,Rammanu chunna desu raaju,,"आओ जक के लोग सब ही, यीशु राजा बुलाता है  (2)"
351,351,351,403,290,రండి రండి యేసుని యొద్దకు,Randi randi yesuni yoddaku,வருவீர் வருவீர் இயேசுவினருகில்,"आओ, आओ यीशु पास आओ,"
352,352,352,404,0,రారండి యేసు పాదముల చేర,Rarandi yesu padamula chera,வாருமே இயேசுபாதம் சேருமே,
353,353,353,0,326,ఇలలో యేసునకే జయము,Ilalo yesunake jayamu,,जग में मसीह की हो जयकार ... सब प्राणी करें जय जयकार  (2)
354,354,354,223,323,క్రీస్తే సర్వాధికారి,Kriste sarvaadhikaari,கிறிஸ்தே சர்வாதிகாரி,"ख्रीष्ट है सर्वाधिकारी ... ख्रीष्ट है अल्फा ओमिगा,"
355,355,355,224,315,అంధకారలోకమునకు,Andhakaara lokamunaku,இருள் நிறைந்த உலகத்திலே,"अन्धकार में खोए हुओं को,"
356,356,356,361,317,మానవ రూపమును ధరించి,Maanava roopamunu dharinchi,மானிடரூபம் இயேசு எடுத்தார்,"मनुष्य रूप धारण करके, आया यीशु जगत में,"
357,357,357,402,328,సాటి లేనిది యేసుని రక్తము,Saatilenidi Yesuni rakhtamu,இயேசுவின் இரத்தம் இன்று முள்ளதே,"यीशु का लोहू अनुपम है जो,"
358,358,358,405,0,రక్షణ నొసగెడు యేసుని,Rakshana nosagedu Yesuni,பாவியை இரட்சிக்க வந்த கிறிஸ்தேசுவை,
359,359,359,0,318,పాపులకొరకు ప్రభుయేసు,Papulakoraku prabhuyesu,,"पापी के लिए प्रभुजी (२), क्रूस पर बिल हुआ, (2)"
360,360,360,364,310,దేవుడు లోకమును యెంతో ప్రేమించెను,Devudu lokamunu yentho preminchenu,தேவன் இவ்வுலகை எவ்வளவாய் நேசித்தார்,"ईश्वर ने जगत से प्रेम ऐसा किया,"
361,361,361,362,335,మాయ లోకము - మోసపోకుము,Maya lokamu - mosapokumu,மாய லோகத்தில் மோசம் போகாதீர்,"माया मोह में धोखा न खाओ तुम,"
362,362,362,363,336,న్యాయపీఠము నీ ముందు వున్నది,Nyaayapeetahmu nee mundu unnadi,நியாய சிங்காசனம் உனக்கு முன் உள்ளது,"न्याय का सिंहासन सामने रखा है, ध्यान से जरा देख कोई बैठा है"
363,363,363,370,370,మహావైద్యుండు వచ్చెను,Mahavaidyundu vachenu,"பேரன்பர் இயேசு நிற்கிறார்,","संसार का सब से बड़ा वैद्य ... वह है हमारा यीशु,"
364,364,364,371,369,శుభవార్త వింటిమి,Shubhavartha vintimi,நல்லசெய்தி ! இயேசுவை,"सुना हमने सुख का बोल, यीशु ख्रिस्त है तारणहार"
365,365,365,315,365,ఇమ్మానుయేలుని రక్తము,Immaanuyeluni rakhtamu,இம்மானுவேலின் இரத்தத்தால்,"इम्मानुएल के लोहू से एक सोता भरा है,"
366,366,366,316,364,డాగునేది మాపును,Daagunedi mapunu - vega Yesu,"பாவதோஷம் நீக்கிட,",दिल के दाग को धोवे कौन ? लोहू जो कि क्रूस से जारी
367,367,367,711,207,మన ప్రభువైన యేసునందు,Mana prabhuvaina Yesu nandu,நம் கர்த்தராம் கிறிஸ்துவுக்குள்ளே நன்மைகள் எவ்வளவோ,"प्रभु यीशु में सब प्रकार की, आशीष हमारी है"
368,368,368,391,330,నీ జీవితము క్షణభంగురమే,Nee jeevitamu kshanabhangurame,உன் ஜீவிய காலம் குறுகினதே,"यह जीवन तेरा दो दिन का है, एक दिन तुझे मिट जाना है"
369,369,369,678,344,ఎంతో గొప్ప నిత్యమైన,Entho goppa nityamaina,பெரியதும் நித்தியமான பூரண இரட்சிப்பிதே,"महान उद्धार, अनन्त उद्धार, पूरा उद्धार वह है,"
370,370,370,389,320,యేసు లేనిచో పాపికాశ్రయమే,Yesu lenicho papikaashrayame ledu,இயேசுவையல்லாமல் பாவிக்கு அடைக்கலமில்லை,यीशु बिन पापी का नहीं है ठिकाना  (2)
371,371,371,428,339,మారు మనస్సు పొందుము,Maaru manassu pondumu,மனந்திரும்பு இந்நாளே 2,"मन फिराओ, मन फिराओ,"
372,372,372,400,332,"వ్యర్థం, వ్యర్థం, సర్వము","Vyardham vyardham, sarvamu",மாயை மாயை உலகமே மாயை,"व्यर्थ ही व्यर्थ है, सब कुछ व्यर्थ है,"
373,373,373,766,173,క్రీస్తు ప్రభుకే సకల మహిమ,Kristu prabhuke sakala mahima,இயேசு இரட்சகா உமக்கே மகிமை,"ख्रीष्ट प्रभु जी महिमा तेरी हो,"
374,374,374,0,312,ఎవరో తెలుసా యేసయ్యా చెబుతా,Evaro thelusaa Yesayyaa chebuthaa,,कौन है यीशु जानते हो ?
375,375,375,0,0,శ్రమలను పొందె శ్రీ యేసుడు,Shramalanu ponde shree Yesudu,,
376,376,376,0,0,యేసు నామమునే పాపికి రక్షణ,Yesu namamune paapiki rakshana,,
377,377,377,0,712,యేసుని వెంట నేను - వెంబడించుచున్నాను,Yesuni venta nenu - vembadinchuchunnanu,,"यीशु के पीछे पीछे चला जा रहा हूँ मैं,"
378,378,378,0,0,నీవెన్నాళ్ళు రెండు తలంపులతో,Neevennallu rendu thalampulatho,,
379,379,379,0,0,పైనున్న ఆకాశమందునా,Painunna aakasamanduna,,
380,380,380,0,0,యేసు ప్రభువే లోకరక్షకుడు,Yesu prabhuve lokarakshakudu,,
381,381,381,0,0,యేసుని చెంతకు ఆశతో రమ్మిల,Yesuni chentaku aashatho rammila,,
